U_Negeri_ID,Negeri,Kod_Negeri,Negeri_Rkod,status
99,IBU PEJABAT,99,10,1
01,JOHOR,1,27,1
02,KEDAH,2,21,1
03,KELANTAN,3,30,1
04,MELAKA,4,26,1
05,NEGERI SEMBILAN,5,25,1
06,PAHANG,6,28,1
07,PULAU PINANG,7,22,1
08,PERAK,8,23,1
09,PERLIS,9,20,1
10,SELANGOR,10,24,1
11,TERENGGANU,11,29,1
12,SABAH,12,50,1
13,SARAWAK,13,40,1
14,KUALA LUMPUR,14,14,1
15,LABUAN,15,15,1
16,PUTRAJAYA,16,16,1
99,IBU PEJABAT RISDA,99,10,1
