U_Dun_ID,Dun,U_Parlimen_ID,Kod_Dun,Kod_Parlimen,Kod_Negeri,Kod_Dun2
14117060,SEGAMBUT,14117,117060,117,14,060
14118061,SETIAWANGSA,14118,118061,118,14,061
14119062,TITIWANGSA,14119,119062,119,14,062
14120063,BUKIT BINTANG,14120,120063,120,14,063
14121064,LEMBAH PANTAI,14121,121064,121,14,064
14122065,SEPUTEH,14122,122065,122,14,065
14123066,CHERAS,14123,123066,123,14,066
14124067,BANDAR TUN RAZAK,14124,124067,124,14,067
15166166,LABUAN,15166,166166,166,15,166
16125068,PUTRAJAYA,16125,125068,125,16,068
