usahawanid,jenisperniagaan,klusterperniagaan,subkluster,purata_jualan_bulanan
J00215,E,E10,SERVIS RADIATOR,
J00216,E,E4,,3000
J00217,A,A4,,
J00218,B,B1,,2200
J00219,A,A6,,1650
J00220,E,E9,,5000
J00221,E,E48,,2200
J00222,A,A3,,1897
J00223,A,A3,,1700
J00224,,,,
J00225,E,E32,,355
J00226,E,E4,,
J00227,E,E5,,6000
J00228,E,E29,,
J00229,E,E2,,3700
J00230,E,E4,,380
J00231,C,C2,AYAM KAMPUNG,8800
J00232,E,E4,,2500
J00233,A,A4,KEK KUKUS,2200
J00234,A,A4,,2600
J00235,E,E11,,
J00236,E,E20,,2518
J00237,E,E4,,500
J00238,E,E5,,3500
J00239,E,E13,,7000
J00240,E,E2,,1700
J00241,E,E4,,3300
J00242,E,E13,,4000
J00243,A,A1,,
J00244,A,A4,,1000
J00245,A,A4,KEK KUKUS,
J00246,C,C1,KONTAN,
J00247,E,E4,,1700
J00248,A,A3,,
J00249,A,A1,,117599
J00250,A,A3,KARIPAP FROZEN,2500
J00251,A,A4,,5250
J00252,A,A3,,5000
J00253,E,E5,,2500
J00254,A,A4,,2000
J00255,A,A1,,
J00256,C,C2,,2500
J00257,C,C2,,2000
J00258,E,E2,,1800
J00259,E,E4,,555
J00260,A,A2,KUIH TALAM,16641
J00261,E,E4,,2800
J00262,A,A4,ROTI CANAI,
J00263,E,E9,,2000
J00264,C,C2,,1250
J00265,C,C2,,1500
J00266,A,A1,,3398
J00267,E,E5,,
J00268,E,E4,,
J00269,E,E5,,
J00270,A,A1,,
J00271,C,C2,AYAM KAMPUNG,
J00272,E,E4,,
J00273,E,E4,,
J00274,E,E4,,
J00275,C,C1,UBI KAYU/ KELADI,
J00276,A,A3,,
J00277,A,A3,,
J00278,E,E4,,
J00279,E,E4,,
J00280,A,,,1000
J00281,A,,,2400
J00282,A,,,470
J00283,E,E4,,1400
J00284,E,E2,,3000
J00285,E,E9,,3000
J00286,E,,,1800
M00001,A,,,900
M00002,,,,1200
M00003,,,,
M00004,A,,,1000
M00005,A,,,1500
M00006,A,A6,,850
M00007,E,E8,,2000
M00008,A,A4,,1200
M00009,A,A3,,10000
M00010,A,,,1800
M00011,A,A1,,12000
M00012,A,A4,,5000
M00013,E,,,4500
M00014,A,A3,,1500
M00015,A,A4,,1000
M00016,A,A6,,7000
M00017,E,,,5500
M00018,E,,,500
M00019,A,,,1500
M00020,E,,,53000
M00022,,,,3000
M00023,A,,,1500
M00024,E,,,2500
M00025,C,,,3000
M00026,A,,,900
S00001,C,C3,,4276
S00002,E,E20,,3967
S00003,C,C2,,223
