usahawanid,jenisperniagaan,klusterperniagaan,subkluster,purata_jualan_bulanan
C00755,C,C3,,
C00756,E,E2,,
C00757,C,C2,LEMBU,
C00758,E,E4,,
C00759,E,E25,,
C00760,C,,,
C00761,A,E13,TAKOYAKI,
C00762,C,C2,MADU KELULUT,
C00763,E,E32,,
C00764,C,,,
C00765,E,E2,,
C00766,C,C3,,
C00767,C,,,
C00768,A,A2,MURUKU,
C00769,C,C2,KAMBING,
C00770,A,A2,SATE,
C00771,A,A1,,
C00772,C,C2,LEMBU,
C00773,E,E4,,
C00774,E,E4,,
C00775,E,E16,KABINET DAPUR,
C00776,A,A4,,
C00777,A,A1,,
C00778,E,E8,,
C00779,C,,,
C00780,E,E25,,
C00781,E,E4,,
C00782,C,C1,,
C00783,C,C2,ITIK PENELUR,
C00784,C,,,
C00785,E,E12,,
C00786,A,A2,BAHULU,
C00787,A,A4,,
C00788,A,A3,,
C00789,C,C2,LEMBU,
C00790,E,E5,,
C00791,C,C1,CILI,
C00792,A,A1,,
C00793,C,C2,MADU KELULUT,
C00794,A,A6,SAMBAL HITAM,
C00795,E,E13,,
C00796,E,E4,,
C00797,E,E22,,
C00798,C,C2,MADU KELULUT,
C00799,C,,,
C00800,C,,,
C00801,C,C2,KAMBING,
C00802,C,C3,,
C00803,C,,,
C00804,A,A3,,
C00805,C,,,
C00806,C,C1,VANILLA,
C00807,E,E13,,
C00808,E,E2,,
C00809,C,C2,LEMBU,
C00810,E,E5,,
C00811,C,C2,LEMBU,
C00812,E,E13,BURGER,
C00813,E,E5,,
C00814,E,E13,,
C00815,E,E22,,
C00816,E,E25,,
C00818,C,C1,CILI,
C00819,,,,
C00820,E,E21,,
C00821,E,E11,,
C00822,A,A1,KEREPEK,
C00823,C,C2,MADU KELULUT,
C00824,E,E5,,
C00825,C,,,
C00826,E,E2,,
C00827,C,C1,CILI,
C00828,E,E23,,
C00829,E,E3,,
C00830,C,,,
C00831,C,C2,LEMBU,
C00832,A,A4,,
C00833,C,,,
C00834,E,E6,,
C00835,C,C1,CILI,
C00836,A,A3,AISKRIM,
C00837,E,E7,,
C00838,C,,,
C00839,E,E5,,
C00840,E,E1,,
C00841,C,C1,JAGUNG,
C00842,E,E4,,
C00843,C,C1,TERUNG,
C00844,A,A2,,
C00845,E,E2,,
C00846,A,A1,,
C00847,E,E13,,
C00848,E,E13,,
C00849,A,A2,,
C00850,E,E4,,
C00851,A,A1,KEREPEK,
C00852,E,E4,,
C00853,A,A6,,
C00854,E,E13,,
C00855,C,C2,KAMBING,
C00856,E,E4,,
C00857,E,E30,,
C00858,C,,,
C00859,A,A2,,
C00860,E,E4,,
C00861,C,C3,,
C00862,A,A7,,
C00863,A,A2,,
C00864,E,E4,,
C00865,A,A2,,
C00866,E,E4,,
C00867,C,,,
C00868,E,E4,,
C00869,E,E2,,
C00870,E,E13,,
C00871,C,C2,KERBAU,
C00872,E,E13,,
C00873,E,E4,,
C00874,C,,,
C00875,A,A2,BAHULU,
C00876,C,C2,KAMBING,
C00877,C,C3,,
C00878,C,C2,KAMBING,
C00879,E,E4,,
C00880,A,A3,,
C00881,C,C1,CILI,
C00882,A,A2,APAM BALIK,
C00883,C,,,
C00885,E,E5,,
C00886,E,E25,,
C00887,C,,,
C00888,C,C3,,
C00889,E,E6,,
C00890,E,E1,,
C00891,E,E5,,
C00892,C,C2,KAMBING,
C00893,A,A6,SAMBAL HITAM,
C00894,E,E5,,
C00895,E,E3,,
C00896,E,E4,,
C00897,C,C3,,
C00898,E,E2,,
C00899,E,E10,BAIKI TELEFON,
C00900,E,E8,,
C00901,A,A2,BAHULU,
C00902,A,A1,KEREPEK,
C00903,E,E4,,
C00904,E,E30,,
C00905,C,,,
C00906,A,A1,,
C00907,A,A3,,
C00908,A,A2,,
C00909,E,E4,,
C00910,A,A4,,
C00911,C,,,
C00912,A,A2,,
C00913,A,A2,,
C00914,C,C2,LEMBU ,
C00916,A,A2,,
C00917,E,E4,,
C00918,E,E4,,
C00919,A,A4,,
C00920,C,C2,AYAM KAMPUNG,
C00921,C,,,
C00922,E,E5,,
C00923,E,E12,,
C00924,E,E35,,
C00925,A,E13,ITIK SALAI,
C00926,C,C2,ITIK PENELUR/ AYAM KAMPUNG,
C00927,A,A4,KEK LAPIS,
C00928,A,A4,,
C00929,E,E5,,
C00930,A,A4,,
C00931,A,A3,AISKRIM,
C00932,A,A4,,
C00933,E,E2,,
C00934,A,A3,,
C00935,E,E10,MENYELENGGARA PENYAMAN UDARA,
C00936,E,E2,,
C00937,A,A6,SAMBAL HITAM,
C00938,A,A4,,
C00939,E,,,
C00940,E,E8,,
C00941,E,E13,,
C00942,C,C2,LEMBU,
C00944,A,A2,SATE,
C00945,A,A6,SAMBAL HITAM,
C00946,A,A4,PASTRI,
C00947,A,A1,KEROPOK BAYAM BRAZIL,
C00948,E,E35,,
C00949,A,A2,,
C00950,C,C2,MADU KELULUT,
C00951,E,E11,,
C00952,E,E11,,
C00953,E,E2,,
C00954,C,C3,,
C00955,E,E30,,
C00956,C,C3,,
C00957,C,E25,,
C00958,E,E15,,
C00959,E,E13,,
C00960,A,A7,,
C00961,A,A3,,
C00962,E,E10,MENYELENGGARA PENYAMAN UDARA,
C00963,C,C1,,2000
C00964,C,C2,,
C00965,C,C1,,500
C00966,,,,
C00967,A,A1,,
C00968,E,E8,,
C00969,,,,
C00970,,,,
C00971,C,C1,,
C00972,C,C1,,300
C00973,,,,
C00974,E,E2,,550
C00975,,,,
C00976,,,,
C00977,A,A1,,500
C00978,,,,
C00979,E,E9,,1000
C00980,A,A6,,4298
C00981,C,C2,,400
C00982,,,,
C00983,E,E9,,500
C00984,A,A1,,500
C00985,,,,
C00986,,,,
C00987,E,E4,,500
C00988,,,,
C00989,C,C2,,500
C00990,E,E4,,150
C00991,E,E5,,1600
C00992,C,C1,,500
C00993,,,,
C00994,E,E2,,1500
C00995,C,C2,,2000
C00996,C,C1,,1000
C00997,A,A3,,700
C00998,C,C2,,900
C00999,E,E3,,500
C01000,A,A1,,300
C01001,E,E30,,
C01002,E,E5,,700
C01003,C,C2,,400
C01004,C,C2,,
C01005,,,,
C01006,,,,
C01007,,,,
C01008,C,C1,,600
C01009,,,,
C01010,E,E20,,
C01011,,,,
C01012,,,,
C01013,,,,
C01014,,,,
C01015,C,C2,,
C01016,E,E2,,4600
C01018,,,,
C01019,C,C2,,200
C01020,,,,
C01021,,,,
C01022,,,,
C01023,A,A4,,600
C01024,,,,
C01025,E,E20,,1000
C01026,A,A2,,950
C01027,C,C2,,1000
C01028,,,,
C01029,C,C1,,600
C01030,,,,
C01031,E,E30,,300
C01032,C,C2,,400
C01033,,,,
C01035,,,,
C01036,E,E10,,1500
C01037,C,C2,,
C01038,A,A6,,600
C01039,A,A6,,450
C01040,C,C1,,
C01041,D,E22,,600
C01043,,,,
C01044,E,E25,,1200
C01045,A,A4,,5555
C01046,A,A4,,400
C01047,,,,
C01048,C,C1,,500
C01049,E,E4,,450
C01050,E,E4,,350
C01051,E,E2,,400
C01052,,,,
C01053,A,A6,,600
C01054,A,A1,,700
C01055,C,C1,,600
C01056,,,,
C01057,E,E9,,41100
C01058,,,,
C01059,,,,
C01060,E,E13,,1600
C01061,E,E4,,750
C01062,C,C1,,600
C01063,,,,
C01064,,,,
C01065,E,E4,,
C01066,A,A1,,1800
C01067,,,,
C01068,,,,
C01069,E,E4,,
C01070,E,E1,,
C01071,A,A2,,600
C01072,E,E4,,
C01073,A,A4,,35000
C01074,E,E4,,450
C01075,E,E4,,400
C01076,,,,
C01077,A,A2,,500
C01078,C,C2,,
C01079,E,E1,,500
C01080,E,E2,,1000
C01081,A,A4,,1650
C01082,E,E1,,
C01083,A,A4,,2300
C01084,E,E11,,1400
C01085,A,A2,,
C01086,E,E3,,950
C01087,E,E4,,
C01088,,,,
C01089,E,E4,,
C01090,E,E13,,5389
C01091,E,E9,,1100
C01092,E,E9,,1100
C01093,A,A4,,2400
C01094,C,C2,,
C01095,A,A2,,800
C01096,C,C2,,
C01097,A,A2,,600
C01098,E,E8,,
C01099,,,,
C01100,E,E32,,
C01101,E,E4,,25000
C01102,A,A6,,3200
C01103,A,A3,,700
C01104,E,E4,,
C01105,E,E4,,
C01106,E,E4,,
C01107,A,A2,,500
C01108,E,E4,,
C01109,,,,
C01110,E,E25,,1200
C01111,A,A3,,500
C01112,E,E8,,
C01113,C,C1,,600
C01114,,,,
C01115,E,E11,,2630
C01116,E,E4,,
C01117,,,,
C01118,,,,
C01119,,,,
C01120,,,,
C01121,A,A6,,1500
C01123,C,C2,,
C01124,E,E22,,1300
J00287,,,,
J00288,,,,
J00289,,,,
J00290,,,,
J00291,,,,
J00292,,,,
J00293,,,,
J00294,,,,
J00295,,,,640
J00296,,,,
J00297,,,,
J00298,,,,
J00299,,,,
J00300,,,,
J00301,,,,
J00302,,,,
J00303,,,,
J00304,,,,
J00305,,,,
J00307,,,,
J00308,,,,
J00309,,,,
J00310,,,,
J00312,,,,
J00313,,,,
J00314,,,,
J00315,,,,
J00316,,,,
J00317,,,,
J00318,,,,
J00320,,,,
J00321,,,,
J00322,,,,
J00323,,,,
J00324,,,,
J00325,,,,
J00326,,,,
J00327,,,,
J00328,,,,
J00329,,,,
J00330,,,,
J00331,,,,
J00332,,,,
J00333,,,,
J00334,,,,
J00335,,,,
J00336,,,,
J00337,,,,
J00338,,,,
J00339,,,,
J00340,,,,
J00341,,,,
J00342,,,,
J00343,,,,
J00344,,,,
J00345,,,,
J00347,,,,
J00348,,,,
J00349,,,,
J00350,,,,
J00351,,,,
J00352,,,,
J00353,,,,
J00354,,,,
J00355,,,,
J00356,,,,
J00357,,,,
J00358,,,,
J00359,,,,
J00360,,,,
J00361,,,,
J00362,,,,
J00363,,,,
J00364,,,,
J00365,,,,
J00366,,,,
J00367,,,,
J00368,,,,
J00369,,,,
J00370,,,,
J00371,,,,
J00372,,,,
J00373,,,,
J00374,,,,
J00375,,,,
J00376,,,,
J00377,,,,
J00378,,,,
J00379,,,,
J00380,,,,
J00381,,,,
J00382,,,,
J00383,,,,
J00384,,,,
J00385,,,,
J00386,,,,
J00387,,,,
J00388,,,,
J00389,,,,
J00390,,,,
J00391,,,,
J00392,,,,
J00393,,,,
J00394,,,,
J00395,,,,
J00396,,,,
J00397,,,,
J00398,,,,
J00399,,,,
J00400,,,,
J00401,,,,
J00402,,,,
J00403,,,,
J00404,,,,
J00405,,,,
J00406,,,,
J00408,,,,
J00409,,,,
J00410,,,,
J00411,,,,
J00412,,,,
J00413,,,,
J00414,,,,
J00415,,,,
J00416,,,,
J00417,,,,
J00418,,,,
J00419,,,,
J00420,,,,
J00421,,,,
J00422,,,,
J00423,,,,
J00424,,,,
J00425,,,,
J00426,,,,
J00427,,,,
J00429,,,,
J00430,,,,
J00431,,,,
J00432,,,,
J00433,,,,
J00434,,,,
J00435,,,,
J00436,,,,
J00437,,,,
J00438,,,,
J00439,,,,
J00440,,,,
J00442,,,,
J00443,,,,
J00444,,,,
J00445,,,,
J00446,,,,
J00447,,,,
J00448,,,,
J00449,,,,
J00452,,,,
J00453,,,,
J00454,,,,
J00455,,,,
J00456,,,,
J00457,,,,
J00458,,,,
J00460,,,,
J00461,,,,
J00462,,,,
J00463,,,,
J00464,,,,
J00465,,,,
J00466,,,,
J00467,,,,
J00468,,,,
J00469,,,,
J00470,,,,
J00471,,,,
J00472,,,,
J00473,,,,
J00474,,,,
J00475,,,,
J00476,,,,
J00477,,,,
J00478,,,,
J00479,,,,
J00480,,,,
J00482,,,,
J00483,,,,
J00484,,,,
J00485,,,,
J00486,,,,
J00487,,,,
J00488,,,,
J00489,,,,
J00490,,,,
J00491,,,,
J00492,,,,
J00493,,,,
J00494,,,,
J00495,,,,
J00496,,,,
J00497,,,,
J00498,,,,
J00499,,,,
J00500,,,,
J00501,,,,
J00502,,,,
J00503,,,,
J00504,,,,
J00506,,,,
J00507,,,,
J00508,,,,
J00509,,,,
J00510,,,,
J00512,,,,
J00513,,,,
J00514,,,,
J00515,,,,
J00516,,,,
J00517,,,,
J00518,,,,
J00519,,,,
J00520,,,,
J00521,,,,
J00522,,,,
J00523,,,,
J00524,,,,
J00526,,,,
J00527,,,,
J00528,,,,
J00529,,,,
J00530,,,,
J00532,,,,
J00533,,,,
J00534,,,,
J00535,,,,
J00536,,,,
J00537,,,,
J00538,,,,
J00539,,,,
J00540,,,,
J00541,,,,
J00542,,,,
J00543,,,,
J00544,,,,
J00545,,,,
J00546,,,,
J00547,,,,
J00548,,,,
J00549,,,,
J00550,,,,
J00551,,,,
J00552,,,,
J00553,,,,
J00554,,,,
J00556,,,,
J00557,,,,
J00558,,,,
J00559,,,,
J00560,,,,
J00561,,,,
J00562,,,,
J00563,,,,
J00564,,,,
J00565,,,,
J00566,,,,
J00567,,,,
J00568,,,,
J00570,,,,
J00571,,,,
J00572,,,,
J00573,,,,
J00574,,,,
J00575,,,,
J00576,,,,
J00577,,,,
J00578,,,,
J00579,,,,
J00580,,,,
J00581,,,,
J00582,,,,
J00583,,,,
J00584,,,,
J00585,,,,
J00586,,,,
J00587,,,,
J00589,,,,
J00590,,,,
J00591,,,,
J00592,,,,
J00593,,,,
J00594,,,,
J00596,,,,
J00597,,,,
J00598,,,,
J00599,,,,
J00600,,,,
J00602,,,,
J00603,,,,
J00604,,,,
J00606,,,,
J00607,,,,
J00608,,,,
J00609,,,,
J00610,,,,
J00611,,,,
J00612,,,,
J00614,,,,
J00615,,,,
J00616,,,,
J00617,,,,
J00618,,,,
J00619,,,,
J00620,,,,
J00621,,,,
J00622,,,,
J00623,,,,
J00624,,,,
J00625,,,,
J00627,,,,
J00629,,,,
J00630,,,,
J00631,,,,
J00632,,,,
J00633,,,,
J00634,,,,
J00635,,,,
J00636,,,,
J00637,,,,
J00638,,,,
J00639,,,,
J00640,,,,
J00641,,,,
J00643,,,,
J00644,,,,
J00645,,,,
J00646,,,,
J00647,,,,
J00648,,,,
J00649,,,,
J00650,,,,
J00651,,,,
J00652,,,,
J00653,,,,
J00654,,,,
J00655,,,,
J00656,,,,
J00657,,,,
J00658,,,,
J00659,,,,
J00660,,,,
J00661,,,,
J00662,,,,
J00663,,,,
J00664,,,,
J00665,,,,
J00666,,,,
J00667,,,,
J00668,,,,
J00669,,,,
J00670,,,,
J00671,,,,
J00672,,,,
J00673,,,,
J00674,,,,
J00675,,,,
J00676,,,,
J00677,,,,
J00678,,,,
J00679,,,,
J00680,,,,
J00681,,,,
J00682,,,,
J00683,,,,
J00684,,,,
J00685,,,,
J00686,,,,
J00687,,,,
J00688,,,,
J00689,,,,
J00690,,,,
J00691,,,,
J00692,,,,
J00693,,,,
J00694,,,,
J00695,,,,
J00696,,,,
J00697,,,,
J00698,,,,
J00699,,,,
J00700,,,,
J00701,,,,
J00702,,,,
J00703,,,,
J00704,,,,
J00705,,,,
J00706,,,,
J00707,,,,
J00708,,,,
J00709,,,,
J00710,,,,
J00711,,,,
J00712,,,,
J00713,,,,
J00714,,,,
J00715,,,,
J00716,,,,
J00717,,,,
J00718,,,,
J00719,,,,
J00721,,,,
J00722,,,,
J00723,,,,
J00724,,,,
J00725,,,,
J00726,,,,
J00728,,,,
J00729,,,,
J00730,,,,
J00731,,,,
J00732,,,,
J00733,,,,
J00734,,,,
J00735,,,,
J00736,,,,
J00737,,,,
J00738,,,,
J00739,,,,
J00740,,,,
J00741,,,,
J00742,,,,
J00743,,,,
J00744,,,,
J00746,,,,
J00747,,,,
J00748,,,,
J00749,,,,
J00750,,,,
J00751,,,,
J00752,,,,
J00753,,,,
J00754,,,,
J00755,,,,
J00756,,,,
J00757,,,,
J00758,,,,
J00760,,,,
J00761,,,,
J00762,,,,
J00763,,,,
J00764,,,,
J00765,,,,
J00766,,,,
J00767,,,,
J00768,,,,
J00769,,,,
J00771,,,,
J00772,,,,
J00773,,,,
J00774,,,,
J00775,,,,
J00776,,,,
J00777,,,,
J00778,,,,
J00779,,,,
J00780,,,,
J00781,,,,
J00782,,,,
J00783,,,,
J00784,,,,
J00785,,,,
J00786,,,,
J00787,,,,
J00788,,,,
J00789,,,,
J00790,,,,
J00791,,,,
J00792,,,,
J00793,,,,
J00794,,,,
J00795,,,,
J00796,,,,
J00797,,,,
J00798,,,,
J00799,,,,
J00800,,,,
J00801,,,,
J00802,,,,
J00803,,,,
J00804,,,,
K00001,,,,
K00002,,,,
K00003,,,,
K00004,,,,
K00005,,,,
K00006,,,,
K00007,,,,
K00008,,,,
K00009,,,,
K00010,,,,
K00011,,,,
K00012,,,,
K00013,,,,
K00014,,,,
K00015,,,,
K00016,,,,
K00017,,,,
K00018,,,,
K00019,,,,
K00020,,,,
K00021,,,,
K00022,,,,
K00023,,,,
K00024,,,,
K00025,,,,
K00026,,,,
K00027,,,,
K00028,,,,
K00029,,,,
K00030,,,,
K00031,,,,
K00032,,,,
K00033,,,,
K00034,,,,
K00035,,,,
K00036,,,,
K00037,,,,
K00038,,,,
K00039,,,,
K00040,,,,
K00041,,,,
K00042,,,,
K00043,,,,
K00044,,,,
K00045,,,,
K00047,,,,
K00048,,,,
K00049,,,,
K00050,,,,
K00051,,,,
K00052,,,,
K00053,,,,
K00054,,,,
K00055,,,,
K00056,,,,
K00057,,,,
K00058,,,,
K00059,,,,
K00060,,,,
K00061,,,,
K00062,,,,
K00063,,,,
K00064,,,,
K00065,,,,
K00066,,,,
K00067,,,,
K00068,,,,
K00069,,,,
K00070,,,,
K00071,,,,
K00072,,,,
K00073,,,,
K00074,,,,
K00075,,,,
K00076,,,,
K00077,,,,
K00078,,,,
K00079,,,,
K00080,,,,
K00081,,,,
K00082,,,,
K00083,,,,
K00084,,,,
K00085,,,,
K00086,,,,
K00087,,,,
K00088,,,,
K00089,,,,
K00090,,,,
K00091,,,,
K00092,,,,
K00093,,,,
K00094,,,,
K00095,,,,
K00096,,,,
K00097,,,,
K00098,,,,
K00099,,,,
K00100,,,,
K00101,,,,
K00102,,,,
K00103,,,,
K00104,,,,
K00105,,,,
K00106,,,,
K00107,,,,
K00108,,,,
K00109,,,,
K00110,,,,
K00111,,,,
K00112,,,,
K00113,,,,
K00114,,,,
K00115,,,,
K00116,,,,
K00117,,,,
K00118,,,,
K00119,,,,
K00120,,,,
K00121,,,,
K00122,,,,
K00123,,,,
K00124,,,,
K00125,,,,
K00126,,,,
K00127,,,,
K00128,,,,
K00129,,,,
K00130,,,,
K00131,,,,
K00132,,,,
K00133,,,,
K00134,,,,
K00135,,,,
K00136,,,,
K00137,,,,
K00138,,,,
K00139,,,,
K00140,,,,
K00141,,,,
K00142,,,,
K00143,,,,
K00144,,,,
K00145,,,,
K00146,,,,
K00147,,,,
K00148,,,,
K00149,,,,
K00150,,,,
K00151,,,,
K00152,,,,
K00153,,,,
K00154,,,,
K00155,,,,
K00156,,,,
K00157,,,,
K00158,,,,
K00159,,,,
K00160,,,,
K00161,,,,
K00162,,,,
K00163,,,,
K00164,,,,
K00165,,,,
K00166,,,,
K00167,,,,
K00168,,,,
K00169,,,,
K00170,,,,
K00171,,,,
K00172,,,,
K00173,,,,
K00174,,,,
K00175,,,,
K00176,,,,
K00177,,,,
K00178,,,,
K00179,,,,
K00180,,,,
K00181,,,,
K00182,,,,
K00183,,,,
K00184,,,,
K00185,,,,
K00186,,,,
K00187,,,,
K00188,,,,
K00189,,,,
K00190,,,,
K00191,,,,
K00192,,,,
K00193,,,,
K00194,,,,
K00195,,,,
K00196,,,,
K00197,,,,
K00198,,,,
K00199,,,,
K00200,,,,
K00201,,,,
K00202,,,,
K00203,,,,
K00204,,,,
K00205,,,,
K00206,,,,
K00207,,,,
K00208,,,,
K00209,,,,
K00210,,,,
K00211,,,,
K00212,,,,
K00213,,,,
K00214,,,,
K00215,,,,
K00216,,,,
K00217,,,,
K00218,,,,
K00219,,,,
K00220,,,,
K00221,,,,
K00222,,,,
K00223,,,,
K00224,,,,
K00225,,,,
K00226,,,,
K00227,,,,
K00228,,,,
K00229,,,,
K00230,,,,
K00231,,,,
K00232,,,,
K00233,,,,
K00234,,,,
K00235,,,,
K00236,,,,
K00237,,,,
K00238,,,,
K00239,,,,
K00240,,,,
K00241,,,,
K00242,,,,
K00243,,,,
K00244,,,,
K00245,,,,
K00246,,,,
K00247,,,,
K00248,,,,
K00249,,,,
K00250,,,,
K00251,,,,
K00252,,,,
K00253,,,,
K00254,,,,
K00255,,,,
K00256,,,,
K00257,,,,
K00258,,,,
K00259,,,,
K00260,,,,
K00261,,,,
K00262,,,,
K00263,,,,
K00264,,,,
K00265,,,,
K00266,,,,
K00267,,,,
K00268,,,,
K00269,,,,
K00270,,,,
K00271,,,,
K00272,,,,
K00273,,,,
K00274,,,,
K00275,,,,
K00276,,,,
K00277,,,,
K00278,,,,
K00279,,,,
K00280,,,,
K00281,,,,
K00282,,,,
K00283,,,,
K00284,,,,
K00285,,,,
K00286,,,,
K00287,,,,
K00288,,,,
K00289,,,,
K00290,,,,
K00291,,,,
K00292,,,,
K00293,,,,
K00294,,,,
K00295,,,,
K00296,,,,
K00297,,,,
K00298,,,,
K00299,,,,
K00300,,,,
K00301,,,,
K00302,,,,
K00303,,,,
K00304,,,,
K00305,,,,
K00306,,,,
K00307,,,,
K00308,,,,
K00309,,,,
K00310,,,,
K00311,,,,
K00312,,,,
K00313,,,,
K00314,,,,
K00315,,,,
K00316,,,,
K00317,,,,
K00318,,,,
K00319,,,,
K00320,,,,
K00321,,,,
K00322,,,,
K00323,,,,
K00324,,,,
K00325,,,,
K00326,,,,
K00327,,,,
K00328,,,,
K00329,,,,
K00330,,,,
K00331,,,,
K00332,,,,
K00333,,,,
K00334,,,,
K00335,,,,
K00336,,,,
K00337,,,,
K00338,,,,
K00339,,,,
K00340,,,,
K00341,,,,
K00342,,,,
K00343,,,,
K00344,,,,
K00345,,,,
K00346,,,,
K00347,,,,
K00348,,,,
K00349,,,,
K00350,,,,
K00351,,,,
K00353,,,,
K00354,,,,
K00355,,,,
K00356,,,,
K00357,,,,
K00358,,,,
K00359,,,,
K00360,,,,
K00361,,,,
K00362,,,,
K00363,,,,
K00364,,,,
K00365,,,,
K00366,,,,
K00367,,,,
K00368,,,,
K00369,,,,
K00370,,,,
K00371,,,,
K00372,,,,
K00373,,,,
K00374,,,,
K00375,,,,
K00376,,,,
K00377,,,,
K00378,,,,
K00379,,,,
K00380,,,,
K00381,,,,
K00382,,,,
K00383,,,,
K00384,,,,
K00385,,,,
K00386,,,,
K00387,,,,
K00388,,,,
K00389,,,,
K00390,,,,
K00391,,,,
K00392,,,,
K00393,,,,
K00394,,,,
K00395,,,,
K00396,,,,
K00397,,,,
K00398,,,,
K00399,,,,
K00400,,,,
K00401,,,,
K00402,,,,
K00403,,,,
K00404,,,,
K00405,,,,
K00406,,,,
K00407,,,,
K00408,,,,
K00409,,,,
K00410,,,,
K00411,,,,
K00412,,,,
K00413,,,,
K00414,,,,
K00415,,,,
K00416,,,,
K00417,,,,
K00418,,,,
K00419,,,,
K00420,,,,
K00421,,,,
K00422,,,,
K00423,,,,
K00424,,,,
K00425,,,,
K00426,,,,
K00427,,,,
K00428,,,,
K00429,,,,
K00430,,,,
K00431,,,,
K00432,,,,
K00433,,,,
K00434,,,,
K00435,,,,
K00436,,,,
K00437,,,,
K00438,,,,
K00439,,,,
K00440,,,,
K00441,,,,
K00442,,,,
K00443,,,,
K00444,,,,
K00445,,,,
K00446,,,,
K00447,,,,
K00448,,,,
K00449,,,,
K00450,,,,
K00451,,,,
K00452,,,,
K00453,,,,
K00454,,,,
K00455,,,,
K00456,,,,
K00457,,,,
K00458,,,,
K00459,,,,
K00460,,,,
K00461,,,,
K00462,,,,
K00463,,,,
K00464,,,,
K00465,,,,
K00466,,,,
K00467,,,,
K00468,,,,
K00469,,,,
K00470,,,,
K00471,,,,
K00472,,,,
K00473,,,,
K00474,,,,
K00475,,,,
K00476,,,,
K00477,,,,
K00478,,,,
K00479,,,,
K00480,,,,
K00481,,,,
K00482,,,,
K00483,,,,
K00484,,,,
K00485,,,,
K00486,,,,
K00487,,,,
K00488,,,,
K00489,,,,
K00490,,,,
K00491,,,,
K00492,,,,
K00493,,,,
K00494,,,,
K00495,,,,
K00496,,,,
K00497,,,,
K00498,,,,
K00499,,,,
K00500,,,,
K00501,,,,
K00502,,,,
K00503,,,,
K00504,,,,
K00505,,,,
K00506,,,,
K00507,,,,
K00508,,,,
K00509,,,,
K00510,,,,
K00511,,,,
K00512,,,,
K00513,,,,
K00514,,,,
K00515,,,,
K00516,,,,
K00517,,,,
K00518,,,,
K00519,,,,
K00520,,,,
K00521,,,,
K00522,,,,
K00523,,,,
K00524,,,,
K00525,,,,
K00526,,,,
K00527,,,,
K00528,,,,
K00529,,,,
K00530,,,,
K00531,,,,
K00532,,,,
K00533,,,,
K00534,,,,
K00535,,,,
K00536,,,,
K00537,,,,
K00538,,,,
K00539,,,,
K00540,,,,
K00541,,,,
K00542,,,,
K00543,,,,
K00544,,,,
K00545,,,,
K00546,,,,
K00547,,,,
K00548,,,,
K00549,,,,
K00550,,,,
K00551,,,,
K00552,,,,
K00553,,,,
K00554,,,,
K00555,,,,
K00556,,,,
K00557,,,,
K00558,,,,
K00559,,,,
K00560,,,,
K00561,,,,
K00562,,,,
K00563,,,,
K00564,,,,
K00565,,,,
K00566,,,,
K00567,,,,
K00568,,,,
K00569,,,,
K00570,,,,
K00571,,,,
K00572,,,,
K00573,,,,
K00574,,,,
K00575,,,,
K00576,,,,
K00577,,,,
K00578,,,,
K00579,,,,
K00580,,,,
K00581,,,,
K00582,,,,
K00583,,,,
K00584,,,,
K00585,,,,
K00586,,,,
K00587,,,,
K00588,,,,
K00589,,,,
K00590,,,,
K00591,,,,
K00592,,,,
K00593,,,,
K00594,,,,
K00595,,,,
K00596,,,,
K00597,,,,
K00598,,,,
K00599,,,,
K00600,,,,
K00601,,,,
K00602,,,,
K00603,,,,
K00604,,,,
K00605,,,,
K00606,,,,
K00607,,,,
K00608,,,,
K00609,,,,
K00610,,,,
K00611,,,,
K00612,,,,
K00613,,,,
K00614,,,,
K00615,,,,
K00616,,,,
K00617,,,,
K00618,,,,
K00619,,,,
K00620,,,,
K00621,,,,
K00622,,,,
K00623,,,,
K00624,,,,
K00625,,,,
K00626,,,,
K00627,,,,
K00628,,,,
K00629,,,,
K00630,,,,
K00631,,,,
K00632,,,,
K00633,,,,
K00634,,,,
K00635,,,,
K00636,,,,
K00637,,,,
K00638,,,,
K00639,,,,
K00640,,,,
K00641,,,,
K00642,,,,
K00643,,,,
K00644,,,,
K00645,,,,
K00646,,,,
K00647,,,,
K00648,,,,
K00649,,,,
K00650,,,,
K00651,,,,
K00652,,,,
K00653,,,,
K00654,,,,
K00655,,,,
K00656,,,,
K00657,,,,
K00658,,,,
K00659,,,,
K00660,,,,
K00661,,,,
K00662,,,,
K00663,,,,
K00664,,,,
K00665,,,,
K00666,,,,
K00667,,,,
K00668,,,,
K00669,,,,
K00670,,,,
K00671,,,,
K00672,,,,
K00673,,,,
K00674,,,,
K00675,,,,
K00676,,,,
K00677,,,,
K00678,,,,
K00679,,,,
K00680,,,,
K00681,,,,
K00682,,,,
K00683,,,,
K00684,,,,
K00685,,,,
K00686,,,,
K00687,,,,
K00688,,,,
K00689,,,,
K00690,,,,
K00691,,,,
K00692,,,,
K00693,,,,
K00694,,,,
K00695,,,,
K00696,,,,
K00697,,,,
K00698,,,,
K00699,,,,
K00700,,,,
K00701,,,,
K00702,,,,
K00703,,,,
K00704,,,,
K00705,,,,
K00706,,,,
K00707,,,,
K00708,,,,
K00709,,,,
K00710,,,,
K00711,,,,
K00712,,,,
K00713,,,,
K00714,,,,
K00715,,,,
K00716,,,,
K00717,,,,
K00718,,,,
K00719,,,,
K00720,,,,
